cod_endereco,cod_cliente,rua,numero,cidade,estado,cep
5507,2734,Vale José Pedro Vasconcelos,17,da Luz do Norte,MG,10263044
5508,24823,Estrada de da Rocha,14,da Cunha de Minas,MG,37187-952
5509,19367,Loteamento Jesus,5,Silva,RN,99475-233
5510,11498,Viela Dias,44,da Conceição de Fogaça,DF,48781876
5511,20422,Praça da Mota,8,Casa Grande de Goiás,SE,69795-340
5512,172,Ladeira Teixeira,88,Souza,RS,83062743
5513,7106,Fazenda de Pereira,67,da Luz,CE,58168-416
5514,13283,Jardim Maria Flor Vargas,36,Silveira de Nascimento,TO,96498-464
5515,23134,Largo Novais,3,Lima,RS,51529401
5516,21275,Fazenda Eloá Rios,751,Brito,SC,20415-117
5517,431,Residencial de Porto,1,Azevedo da Prata,GO,79503816
5518,20766,Quadra Lorena Moreira,61,Campos de Camargo,GO,78535154
5519,11943,Lago de Pereira,96,Rios,BA,78818384
5520,21157,Fazenda de Ribeiro,14,Fonseca,PE,67983-260
5521,1516,Trevo da Paz,914,Ribeiro,PE,98570696
5522,6791,Lagoa de Santos,65,da Mata,PR,79773204
5523,18071,Setor Hadassa Silva,98,Marques,MT,14171-412
5524,16283,Pátio Câmara,64,Sousa,PR,61462-255
5525,15100,Rua de Fonseca,73,Macedo dos Dourados,MA,66442-217
5526,2027,Largo de Andrade,4,Nogueira Alegre,RJ,93624-377
5527,22200,Setor Ryan Correia,45,Vargas,RO,38433937
5528,8197,Recanto de Barbosa,913,Costela Paulista,RJ,36062-426
5529,11922,Largo Marques,59,Brito,MS,62065-087
5530,23201,Setor Moraes,22,Farias,RJ,10951718
5531,16601,Residencial de Vieira,17,Casa Grande de Garcia,AC,74798847
5532,5014,Passarela de Garcia,559,Macedo,SC,55716-605
5533,24844,Passarela da Mota,54,Aparecida do Galho,BA,95040-518
5534,16361,Rodovia Pedro Henrique Almeida,45,Teixeira de Lopes,PE,66732-593
5535,5570,Estação de Ferreira,92,Rios do Campo,TO,53284-315
5536,12497,Distrito Jesus,23,Macedo da Serra,PR,76884366
5537,19895,Chácara Novais,5,Vieira do Galho,ES,35352-110
5538,7765,Jardim Maria Helena Barros,876,Cunha do Campo,MT,32471038
5539,3632,Vila de Cardoso,4,da Conceição,AL,86513-283
5540,16367,Aeroporto Novais,61,Gomes de Martins,RO,43098728
5541,17518,Chácara Brenda Silveira,525,Viana,AL,37244-346
5542,16871,Via de Brito,1,Câmara,PI,31051-635
5543,17804,Estação de da Mata,7,Pires do Oeste,SP,62084555
5544,6167,Largo da Cunha,5,da Mota dos Dourados,BA,35254457
5545,6877,Lago de Fonseca,10,da Mota da Praia,RJ,50112-625
5546,8632,Rodovia de Cirino,6,Sales,RR,76018-233
5547,21138,Passarela Vitória Mendes,56,Cassiano,ES,55572971
5548,5733,Vale Marcela Guerra,358,Moreira dos Dourados,PE,83502821
5549,18454,Rodovia Lima,2,Sampaio de Câmara,SP,20275491
5550,4422,Chácara Sousa,63,Campos,DF,63589784
5551,21934,Travessa Enzo Melo,35,Costa,BA,07800989
5552,13085,Estação de Rodrigues,97,Caldeira de Lima,MS,04146903
5553,4771,Praça de Martins,48,Fernandes da Mata,AL,30180221
5554,11622,Vila Camargo,4,da Rosa,RJ,89538-876
5555,20862,Chácara de Lima,1,Câmara,SC,12330-708
5556,19443,Via de Pacheco,1,Vasconcelos,PB,39328-064
5557,21369,Colônia Jesus,9,Câmara,AP,06369677
5558,1558,Distrito de Ferreira,434,Lopes do Sul,AM,05286352
5559,12258,Rua Souza,19,Costela de Moraes,AP,50075160
5560,5994,Avenida Pedro Miguel da Costa,7,Fonseca,PB,05707-633
5561,15791,Quadra Sá,42,Novaes,AC,47438-895
5562,5906,Colônia de Costela,68,Santos Verde,AP,74905820
5563,11024,Chácara Sá,23,Rezende da Prata,BA,38941862
5564,5337,Recanto de Cavalcanti,171,Monteiro,SE,16205064
5565,24964,Morro Matteo Casa Grande,772,Campos,AL,62342830
5566,6580,Praia Peixoto,67,Mendes do Campo,SC,51453-058
5567,15391,Praia Sabrina Barbosa,59,Freitas do Oeste,RJ,00620362
5568,10917,Vereda de Pinto,9,Gomes,TO,15382704
5569,3187,Sítio Apollo Pacheco,42,Costa,PE,33091-039
5570,296,Vila de Farias,99,Souza,AC,46109951
5571,18023,Esplanada Noah da Luz,4,Nunes,MS,94061804
5572,1235,Residencial Marina da Mota,843,Monteiro,AC,99696297
5573,2911,Vereda Maria Vitória Souza,33,Vasconcelos do Galho,GO,28420922
5574,1523,Recanto Maria Helena Albuquerque,51,das Neves do Amparo,RS,95981-260
5575,11189,Núcleo Rios,29,Nunes do Norte,SC,91133730
5576,15844,Viaduto de Carvalho,90,Macedo,SC,12417935
5577,12914,Morro Hadassa Silva,63,Andrade das Flores,RS,40772942
5578,4506,Pátio de Pires,1,Fogaça das Pedras,DF,22334235
5579,2884,Vila Erick Duarte,68,Moura,RS,28832785
5580,20271,Via Enrico Gomes,902,Silva de Casa Grande,DF,29585-288
5581,20608,Via Eduarda Fernandes,28,Teixeira de Oliveira,SC,96508-072
5582,2329,Trecho de Casa Grande,53,Fernandes da Mata,RR,27278-052
5583,15672,Aeroporto Novaes,8,Nascimento da Serra,SE,84886-591
5584,241,Distrito Emanuella Freitas,80,Pires,PR,16380339
5585,15663,Núcleo Vasconcelos,18,Garcia,AP,32110566
5586,24359,Quadra Sousa,2,Pires,BA,14168-685
5587,21369,Alameda Sousa,11,Dias de Ramos,AP,44965201
5588,10199,Favela Isabella Nascimento,5,da Mata dos Dourados,GO,23878650
5589,9108,Rua Catarina Sousa,58,Machado,ES,06712-132
5590,5647,Viela de Ramos,29,Nascimento,CE,50475-436
5591,22328,Praça Correia,52,Novais,RR,52305768
5592,24343,Quadra de Freitas,671,Garcia de Cunha,CE,73622-121
5593,9510,Estação Fernando Martins,48,Duarte,PB,75786470
5594,17653,Via Diogo Cardoso,4,Farias do Norte,MS,96448-139
5595,13016,Rodovia de Porto,719,Guerra do Amparo,ES,33096557
5596,14334,Área Luísa Câmara,53,Sousa,SP,55928-920
5597,1966,Alameda Câmara,5,Albuquerque dos Dourados,MA,89728191
5598,15214,Trecho da Paz,56,Machado,DF,66901278
5599,10809,Vila Lucca Peixoto,13,Farias,DF,92218-979
5600,10546,Aeroporto de Cirino,492,Vargas de Minas,AM,22744-560
5601,11476,Vereda de Peixoto,45,Camargo,PA,40156-628
5602,6126,Alameda de Fernandes,35,Câmara da Prata,BA,43794-825
5603,9277,Morro Caleb Vieira,26,Sousa,PI,16180-056
5604,283,Favela de Silveira,52,Sampaio de Sales,AP,63198654
5605,16863,Trecho Pinto,33,Porto das Pedras,AM,83357022
5606,22911,Rua Novaes,69,Dias,PI,92363953
5607,18947,Praça Theo Azevedo,65,da Costa do Campo,PE,43054544
5608,18356,Conjunto Ryan Nogueira,18,da Rocha dos Dourados,TO,42002-163
5609,3096,Praça Francisco da Cruz,6,Sousa das Flores,AL,33739-588
5610,11204,Viaduto Caldeira,93,Vieira,AL,81453-790
5611,15568,Setor Aparecida,4,Jesus,RJ,83864-850
5612,18137,Alameda de Pereira,2,Albuquerque,MA,48640-867
5613,18484,Vale de Freitas,9,Brito das Pedras,DF,70790-304
5614,15185,Quadra de da Mata,318,Garcia,DF,97216070
5615,650,Morro Cavalcanti,7,Novaes das Flores,RR,32971769
5616,22811,Avenida de Freitas,72,Correia,AC,89349-139
5617,5387,Fazenda de Moreira,41,Casa Grande de Minas,GO,21573-659
5618,2984,Feira Jesus,61,Camargo,RJ,21287558
5619,8167,Feira de Leão,35,Costela das Pedras,RO,41593-802
5620,7116,Área Ferreira,7,Siqueira,RO,96646-034
5621,1063,Núcleo de Caldeira,211,da Costa Grande,SC,27876-768
5622,3808,Favela Cavalcante,36,Leão da Serra,RR,60807-943
5623,20939,Quadra da Luz,25,Abreu,CE,07283575
5624,14879,Jardim Théo Vieira,27,Machado da Prata,CE,20455756
5625,1290,Aeroporto Matteo Pires,813,Oliveira,SP,99263-062
5626,15964,Lago Vicente Mendes,71,Garcia,MA,04948542
5627,9648,Loteamento de Campos,7,Pereira,MS,42942-969
5628,21068,Trevo Ana Laura Brito,7,Andrade Alegre,PI,65491-554
5629,8709,Trevo Siqueira,27,Ferreira,MS,91500-697
5630,5954,Avenida Teixeira,26,Barros,PR,89278401
5631,22605,Vila Olivia Nascimento,89,Sampaio,PR,27344-380
5632,17073,Condomínio de da Cruz,76,Almeida do Sul,SP,15449-424
5633,11797,Largo João Guilherme Moreira,72,Montenegro,AC,17689724
5634,36,Via de Pimenta,99,Campos,PI,97714-392
5635,20051,Alameda João Miguel Novais,44,Brito,AL,65899-514
5636,10289,Aeroporto Maria Alice Silva,85,Azevedo de da Rosa,MG,26236-847
5637,15511,Travessa de Viana,44,Borges,MA,58486-588
5638,2377,Quadra Zoe Siqueira,68,da Mota do Campo,PB,02424315
5639,3624,Alameda de Fonseca,70,Moraes de Macedo,MA,48520140
5640,17733,Parque Jesus,20,Cunha do Campo,DF,95721170
5641,23519,Recanto Garcia,52,Pastor de Vasconcelos,ES,29476-658
5642,3134,Viaduto Francisco Moura,15,Vieira do Campo,SE,57765-109
5643,816,Aeroporto de Pacheco,68,Borges,DF,05320883
5644,20991,Praia Lorenzo Pastor,7,Costela,PR,75017841
5645,12733,Distrito Leão,93,Moreira,BA,84996637
5646,2621,Núcleo Carvalho,78,Viana,RS,53730356
5647,17945,Alameda Bruno Novais,946,Alves,SC,77921-067
5648,16347,Área Porto,433,Fogaça de Minas,MT,85379-854
5649,20408,Quadra Pacheco,1,Câmara,RO,55862-438
5650,19086,Setor de Campos,19,Mendes da Praia,SC,35592265
5651,7655,Fazenda Miguel Pimenta,96,Andrade Verde,RN,54892344
5652,8255,Viaduto da Luz,5,Almeida da Praia,GO,30969-046
5653,24662,Colônia Gael Peixoto,8,da Mata da Mata,PR,32080-575
5654,6445,Praia Gabriela Viana,1,Sales,AP,66784399
5655,14827,Rodovia Montenegro,95,Pacheco,PB,28602095
5656,24155,Loteamento Giovanna Fonseca,28,Novaes do Campo,PA,24317-893
5657,24840,Trevo Cavalcante,7,Rezende,ES,89414735
5658,11837,Lagoa Maya Costa,1,Correia Grande,PI,00997239
5659,21850,Parque Diego da Luz,38,Casa Grande,RN,43347-500
5660,9093,Condomínio Pedro Henrique Martins,850,Pinto de Barbosa,MT,25669-481
5661,21974,Alameda Maria Júlia Souza,30,da Luz,PR,95397-162
5662,8808,Distrito Gabriel Santos,4,Almeida da Serra,RR,45206077
5663,7734,Aeroporto Santos,10,Viana,PE,88100225
5664,24597,Viela Luan Fonseca,35,Martins,ES,37509228
5665,13993,Ladeira de Garcia,876,Correia de Santos,RJ,91258837
5666,17989,Núcleo de Silveira,51,Gomes de Lopes,CE,07537-462
5667,5006,Passarela Bianca Fernandes,85,Gomes,PA,27770758
5668,14143,Quadra Leão,5,da Rocha,SC,85421553
5669,15127,Praia de Rios,10,Araújo do Sul,RJ,62145334
5670,23074,Praia Gabriela Pacheco,2,Borges,MS,68246-392
5671,3733,Rua Lima,14,Almeida,MT,11027216
5672,13435,Jardim Cavalcante,3,Pires do Amparo,RN,60523737
5673,19573,Largo Mariana Cirino,43,Rios,RS,52766142
5674,4716,Feira Sá,208,das Neves do Oeste,SP,26489-903
5675,17237,Passarela Luna Martins,58,Lopes da Serra,BA,29387-642
5676,23766,Via Fogaça,189,Campos,PR,05177239
5677,19735,Condomínio de da Paz,86,Macedo,MT,51292248
5678,18169,Esplanada da Mata,76,Câmara,RO,29567943
5679,9453,Recanto de da Cruz,646,Vargas,MS,03475-076
5680,8935,Lago Marcelo da Costa,50,Mendonça,CE,77226903
5681,15149,Loteamento da Cruz,180,Barros do Oeste,GO,97213829
5682,13460,Feira Alves,30,Farias do Campo,MT,40438-371
5683,19224,Residencial Ramos,19,Mendes,SC,92071098
5684,1142,Estrada de Cavalcanti,88,Pacheco,PB,59867-530
5685,5062,Jardim Ian Marques,23,Almeida das Pedras,MA,66468-194
5686,6835,Núcleo de Peixoto,5,Cunha,RN,76658-808
5687,1141,Viaduto Hellena Carvalho,18,Novais do Sul,MS,15395-561
5688,22335,Vale Oliveira,5,Castro Verde,TO,65236997
5689,2004,Conjunto Ryan Almeida,55,Leão,RN,43019-281
5690,22960,Chácara Leandro Araújo,39,Silveira,MS,95336-373
5691,4069,Pátio Sara Vasconcelos,811,Cardoso das Pedras,PA,29157-347
5692,16714,Jardim de Machado,227,Aragão,PB,77069-867
5693,23197,Núcleo Carlos Eduardo Correia,85,Novais,RN,43775-538
5694,22176,Fazenda de Camargo,71,Ribeiro,TO,28343-539
5695,19856,Feira Clarice Dias,5,Martins,AP,67593-403
5696,24190,Vila Gabrielly Machado,990,da Mota,TO,92488-902
5697,22765,Viaduto Matteo Cunha,43,Peixoto do Sul,CE,35388-316
5698,1096,Estação de Souza,2,Castro,PE,92867921
5699,9510,Favela Murilo Aragão,675,Castro,SP,05494-129
5700,22723,Rodovia de Cirino,32,Fonseca,PB,18967016
5701,22447,Pátio Pastor,37,Rocha,AC,33182764
5702,11630,Passarela Ana Luiza Aragão,58,Machado,RS,06118864
5703,22939,Alameda Moraes,617,Ramos,PI,78329-740
5704,4849,Pátio de Castro,65,da Paz,RS,01305-990
5705,2294,Loteamento Alves,25,Fogaça do Norte,SE,83885-935
5706,16799,Largo Pietra Almeida,14,Cavalcante do Amparo,DF,59313592
5707,22241,Rua de Novaes,900,Souza de Borges,AP,77617-626
5708,24673,Residencial de Pires,38,das Neves de da Conceição,RN,29892413
5709,10037,Pátio Rocha,6,Gomes,AC,00047228
5710,17441,Trecho Rafael Costela,54,Barbosa,CE,22751140
5711,20945,Fazenda Barbosa,2,Cunha da Serra,RR,80181200
5712,4715,Rua de Novaes,72,Oliveira,RJ,28623445
5713,7484,Largo Cecilia Porto,82,Farias do Oeste,AM,88069-732
5714,2694,Viaduto Agatha Sampaio,74,Borges,SC,79116318
5715,16051,Lagoa Aparecida,70,Moraes do Amparo,AL,27399631
5716,1579,Praia da Rosa,70,Cavalcanti,AM,94075-901
5717,2136,Lago Zoe Farias,82,Cunha do Amparo,MA,08340-167
5718,21827,Rodovia Vinicius Melo,4,Aragão,AL,99145-388
5719,21580,Vereda Nascimento,75,Ferreira,MA,48996-438
5720,6591,Campo de Fonseca,92,Pinto,MG,30061240
5721,10269,Recanto de da Conceição,88,da Cruz,PA,82483632
5722,17602,Setor Enzo Rezende,49,Mendonça do Galho,GO,26949-797
5723,3380,Feira Ramos,94,Martins da Serra,RR,68661-192
5724,19310,Condomínio Maria Fernanda Cirino,74,Guerra das Pedras,RJ,50959-991
5725,16855,Parque Aurora Barbosa,84,Albuquerque de da Cruz,BA,71056-185
5726,5511,Estrada Sophie Peixoto,9,Montenegro,CE,36665435
5727,21566,Residencial Catarina Cavalcante,9,Pires do Norte,PR,62089-083
5728,7643,Conjunto Gomes,864,Cunha,SP,41984-827
5729,19095,Travessa Joaquim Cirino,70,Farias,MG,37257743
5730,18986,Vereda Luna Rocha,795,Gonçalves,MA,93719122
5731,3637,Avenida de Caldeira,8,Sá,RO,21325559
5732,21313,Jardim Guerra,723,Machado,MA,87792261
5733,1341,Campo Duarte,20,Gomes,DF,74155191
5734,13386,Parque Jesus,83,das Neves da Mata,PE,91546465
5735,3304,Viela de Silva,68,Ribeiro das Flores,PE,85306-118
5736,19893,Recanto Sá,26,Correia,SP,34299-766
5737,9789,Recanto de Montenegro,139,Mendonça Verde,PE,64891-564
5738,23423,Alameda Mendonça,5,Aragão,BA,57372726
5739,9114,Trevo de Vasconcelos,621,Araújo,SC,40675-472
5740,6514,Colônia Stephany Santos,57,Camargo,MA,46009426
5741,20504,Trevo Luiz Miguel Sampaio,79,Souza da Serra,MA,36357352
5742,11854,Chácara Camargo,41,Nascimento,AL,21140689
5743,23874,Loteamento de da Conceição,48,da Luz de Minas,AC,22592113
5744,3920,Quadra de Teixeira,26,Cardoso de Santos,AP,17676-420
5745,8715,Trecho João Guilherme da Costa,22,Souza,AP,37052147
5746,537,Estação de Pires,530,Peixoto de Minas,SC,79408-180
5747,4867,Passarela Isabela Pinto,44,Garcia,AM,48664358
5748,17677,Ladeira de Rezende,16,Melo,AP,12231285
5749,21824,Vereda Maya da Costa,733,Peixoto,AC,30919231
5750,6834,Ladeira de Pimenta,5,Leão dos Dourados,RJ,52891492
5751,11172,Lago Novaes,62,Azevedo de Montenegro,DF,61121040
5752,10489,Jardim Alícia Aparecida,5,Cavalcanti de Minas,MS,22538032
5753,5968,Condomínio da Costa,48,Farias do Sul,PB,87941-049
5754,9635,Distrito Peixoto,41,Mendonça do Oeste,MA,09799-954
5755,2352,Aeroporto da Mota,53,da Cruz,AL,67497588
5756,13732,Distrito de Fogaça,88,Almeida,AM,83739153
5757,20500,Área Monteiro,80,Mendonça,GO,73087835
5758,14219,Via Santos,5,Lopes,SC,62741-586
5759,4949,Vereda Yago Montenegro,64,Gonçalves,PE,46686312
5760,17247,Jardim de Macedo,99,Moraes,RO,47220-268
5761,19994,Viela Mathias Novais,45,Rios de Ribeiro,SC,60597287
5762,16736,Ladeira Théo Novais,793,Nascimento da Mata,PE,53615571
5763,16433,Via Borges,8,Jesus de Goiás,SE,16565713
5764,19197,Recanto de Araújo,31,Cavalcanti,PE,82555-386
5765,5526,Campo Sampaio,16,Martins da Mata,AM,95731-973
5766,13439,Avenida de da Rocha,81,Pereira de Fonseca,TO,50000978
5767,20507,Residencial Lívia Dias,57,Barbosa,RO,76651-817
5768,4270,Avenida de Cirino,898,Nunes das Pedras,AP,16422320
5769,13185,Colônia de Barbosa,6,Ribeiro,MG,89673-096
5770,14305,Lagoa Cecilia Nascimento,42,Barbosa,DF,15600704
5771,24985,Conjunto de Garcia,72,Macedo,RO,71828-908
5772,20873,Residencial Albuquerque,64,Abreu,SP,01173-320
5773,12506,Fazenda Ana Câmara,20,da Costa,SC,11214-314
5774,1929,Favela Castro,47,Novais de das Neves,PE,24210-878
5775,7308,Lagoa de Marques,44,da Cunha das Flores,PR,94390-869
5776,19039,Trevo de Abreu,27,da Costa da Serra,RR,34627388
5777,11957,Praça de Lima,628,Rocha,RO,00628-586
5778,19505,Rodovia de Barros,59,Cunha das Flores,RJ,50754461
5779,10984,Setor de Novais,18,Fogaça,MS,05869841
5780,10236,Colônia Novais,46,Almeida,TO,04824-041
5781,16225,Núcleo Milena Rodrigues,54,Cardoso,AM,14846972
5782,2484,Setor de Andrade,40,Pimenta,AM,52840-791
5783,10907,Conjunto de Mendonça,29,Cavalcante,RO,97969-733
5784,18849,Morro Theodoro Abreu,149,Rezende de Albuquerque,TO,76774-503
5785,10950,Aeroporto Aparecida,984,Rios da Praia,AL,81487986
5786,19245,Distrito Ravy Vasconcelos,2,da Paz,ES,34806615
5787,3408,Via de Abreu,91,Pinto de Leão,SC,47772854
5788,19439,Esplanada Fernandes,77,Aparecida de da Rocha,RO,65133-980
5789,22392,Praça Gabrielly Oliveira,9,Peixoto do Norte,RO,98877057
5790,17848,Avenida Antony Guerra,30,Pimenta de Goiás,AM,14870489
5791,23720,Favela João Caldeira,26,Garcia,MG,17094898
5792,23104,Condomínio Nathan Marques,1,Leão,RN,73308183
5793,19830,Favela Juliana Vargas,4,Pastor de Minas,PI,72535665
5794,16003,Viaduto Freitas,4,Novais das Pedras,DF,49520978
5795,18920,Praça de Gomes,39,Rocha,AL,86754-821
5796,24597,Condomínio de das Neves,3,da Rosa,RJ,92455681
5797,16398,Parque Cunha,19,Azevedo,RN,39772795
5798,14591,Lagoa Lopes,23,Silva de Costela,RS,74902-337
5799,8847,Rua Casa Grande,29,Cirino,BA,89249-971
5800,2034,Praça Viana,37,Pereira do Oeste,PE,22967378
5801,22577,Colônia Marques,3,Sousa,SC,96661169
5802,22873,Residencial de Moreira,27,Garcia da Praia,AM,19225640
5803,6745,Esplanada Breno Martins,66,Teixeira,RR,33886752
5804,19539,Vereda Emanuel Cirino,8,Azevedo de Pacheco,AL,85489445
5805,15497,Pátio Marcelo Garcia,923,Fogaça,RO,80623-040
5806,4108,Residencial de Lopes,66,Carvalho do Norte,GO,28765-072
5807,323,Viaduto de da Rocha,91,Correia de Leão,GO,01759-709
5808,9616,Conjunto Melissa Almeida,912,da Costa Paulista,BA,00108-354
5809,9522,Ladeira de Monteiro,27,Vargas de Minas,RR,91411-466
5810,8335,Vereda de Mendonça,18,Azevedo do Sul,MA,94069749
5811,8222,Viaduto Caldeira,144,Gonçalves,PI,79807057
5812,12400,Aeroporto Liam Ramos,9,Almeida,BA,17456-284
5813,14931,Loteamento Freitas,55,Leão Grande,AM,71595-437
5814,22237,Alameda de Moreira,869,Rocha,TO,01274-090
5815,9049,Via Nunes,67,Costa de Sales,PE,07122516
5816,17920,Estação Dante Rocha,773,Porto,SP,28741-889
5817,4743,Viaduto de da Conceição,8,Siqueira do Oeste,PB,11119-460
5818,17084,Área da Mota,93,da Cruz,PI,25014-993
5819,14369,Rodovia Fernandes,9,da Paz,CE,87939418
5820,6518,Favela Mateus Sá,93,Nunes de Costa,MA,91730986
5821,24425,Chácara Albuquerque,5,Farias,MA,92004225
5822,3600,Colônia de Costa,4,Jesus Paulista,BA,54955-784
5823,17972,Viaduto Novais,96,Correia,AL,44483837
5824,16759,Esplanada Matheus Pacheco,3,Correia,AC,04538-006
5825,1644,Avenida Gonçalves,592,da Mata,TO,94719129
5826,13287,Largo Ferreira,65,Vieira de Goiás,AP,96421-104
5827,4252,Morro Alice Teixeira,96,Carvalho das Flores,AC,19179142
5828,8867,Parque Almeida,512,Machado,AP,51763-608
5829,16749,Avenida de Araújo,64,Novaes Grande,BA,27005-248
5830,6431,Chácara Leandro Farias,49,da Conceição,MG,27464490
5831,14214,Rodovia de Pereira,65,Casa Grande do Campo,TO,81008-099
5832,6362,Rua Mathias Pereira,95,Borges de Aparecida,RN,20586-181
5833,4291,Estrada Pietro Nascimento,166,Casa Grande de Pinto,MT,59278-210
5834,4861,Passarela Nogueira,826,Montenegro dos Dourados,PE,31037-509
5835,24609,Trevo Milena Carvalho,5,Montenegro de Santos,BA,47812624
5836,11827,Área Viana,56,Pereira de Machado,TO,32664-107
5837,2859,Lagoa de Fonseca,10,Machado do Campo,GO,82912205
5838,13292,Morro Pinto,94,Aparecida,PB,41651908
5839,10013,Vila Silva,42,Siqueira,RR,67866-444
5840,8396,Esplanada de Silveira,36,Dias,AC,74243-548
5841,12042,Vila Caroline Abreu,86,Aragão Paulista,AC,68322-854
5842,5795,Feira Luigi Vasconcelos,51,da Mota,MG,22840-775
5843,10542,Rua de Almeida,7,Marques de Moura,SC,38176-792
5844,17335,Viaduto de Rios,966,Cirino,RJ,50023765
5845,4644,Fazenda Guerra,43,Cavalcanti,BA,48705-506
5846,22900,Vale Gael Henrique Pastor,59,Fonseca de Lopes,SE,14383386
5847,24909,Distrito Miguel Vieira,968,Guerra,GO,02985361
5848,20820,Alameda de Pacheco,68,Pires,PR,27412-065
5849,21217,Setor de da Rocha,16,Cardoso,AL,10138-592
5850,15309,Campo de Borges,4,Caldeira,AC,27259800
5851,16669,Campo Maria Vitória Ramos,18,Correia Verde,AP,63789-475
5852,15457,Praça Enzo Gabriel Mendonça,10,Carvalho,RR,43590-411
5853,22315,Aeroporto Silva,141,Guerra,PR,59957-417
5854,11050,Jardim de Rocha,84,Oliveira,PI,95944005
5855,18749,Setor de Santos,94,Dias,AC,97057561
5856,429,Viela de Farias,72,Lopes do Sul,AC,73823-915
5857,9643,Vale Maria Fernanda Almeida,518,Andrade do Norte,SC,01024-533
5858,7772,Esplanada Natália Pinto,87,Nunes de Melo,DF,73272564
5859,14384,Avenida da Rocha,636,Martins do Norte,SE,49488260
5860,7650,Rodovia de Vargas,61,Vargas,RR,18644-611
5861,2562,Chácara Alice Lima,83,Rios,RS,95257-429
5862,3876,Sítio de da Mota,935,Alves,CE,46378-810
5863,4761,Vale Pacheco,314,Pimenta,AC,96294-162
5864,6431,Vale Nascimento,820,Sampaio,AC,62990-819
5865,20763,Esplanada de Leão,4,Pastor do Sul,MG,86388-677
5866,1688,Campo Montenegro,365,da Rosa,RR,82763719
5867,17705,Esplanada Aragão,20,da Mota de Cardoso,CE,88574859
5868,17084,Loteamento de Câmara,61,Mendonça Grande,AM,20173-298
5869,7469,Largo de Cunha,8,Freitas,RN,14059526
5870,10126,Pátio Alexandre Gomes,859,Silva,PR,19210226
5871,18498,Área Sofia Nogueira,759,Mendonça Verde,PA,26860-491
5872,9140,Alameda Câmara,240,Monteiro dos Dourados,RR,15325-738
5873,18563,Vale Machado,89,Martins,MT,45221778
5874,15179,Praça Azevedo,62,Lopes de Moraes,MT,71618600
5875,22052,Conjunto Aragão,87,Andrade de Carvalho,PB,56575593
5876,16232,Fazenda Luna Aparecida,226,Ramos Verde,PR,07765-406
5877,10349,Praia Pietro Albuquerque,75,da Rocha de Macedo,ES,65007393
5878,14131,Trecho de Cavalcanti,255,Dias Verde,PI,09751-485
5879,11045,Conjunto Souza,881,Câmara,DF,99004-512
5880,10774,Largo Cavalcanti,52,Macedo de Rezende,PI,48812-371
5881,24959,Praia Gomes,5,Câmara,AP,16834-782
5882,10337,Passarela Jade Lima,47,Abreu,DF,93615-732
5883,24337,Parque de Rezende,3,Monteiro,RS,08011-224
5884,12609,Praça Eloá Pinto,931,Martins do Norte,AP,46529596
5885,20980,Avenida Julia Azevedo,294,Gonçalves,PR,16245405
5886,1097,Praia da Rocha,23,Cardoso,AL,29663996
5887,8167,Esplanada Moura,22,da Costa,MT,23075-777
5888,16103,Recanto Rafael Siqueira,988,Cassiano da Mata,TO,76935448
5889,13288,Chácara Novaes,38,Guerra de Aparecida,SC,23040466
5890,2527,Conjunto Almeida,67,Monteiro Grande,RO,00673-391
5891,21856,Vereda de Cirino,2,Pacheco de Casa Grande,AP,97301992
5892,10441,Rodovia Silva,86,Macedo,MS,80240452
5893,6270,Residencial Brito,5,Gonçalves da Praia,AL,10052739
5894,309,Setor Anthony Gabriel Aparecida,859,Melo de Cardoso,RN,28089711
5895,6207,Lagoa da Mota,32,Monteiro,AP,32341190
5896,11397,Distrito de Sampaio,41,Nascimento,MG,73685940
5897,17636,Estrada Porto,41,Silveira,AM,70939301
5898,18723,Condomínio de Camargo,70,Ferreira Verde,CE,11786-480
5899,19037,Sítio da Mata,18,Macedo Alegre,AP,49972163
5900,13605,Campo de Casa Grande,707,Souza,AM,45062-926
5901,20749,Área de Costela,782,Pinto Verde,RJ,09346649
5902,9367,Rodovia de Montenegro,6,Andrade da Serra,SE,81992503
5903,7124,Praia Bella Andrade,97,Aragão da Mata,CE,11835833
5904,13738,Jardim de Silveira,810,Brito,AM,66740617
5905,4271,Recanto de Costa,681,Duarte,MT,50300433
5906,5151,Avenida de Santos,1,Novaes do Oeste,MG,64427356
5907,19992,Viela Kevin Pacheco,617,Andrade,RR,34953-599
5908,20506,Setor Ian Mendonça,29,Lopes,MG,23586030
5909,4431,Viela Bruno Viana,48,da Cruz da Mata,AC,76127-376
5910,21870,Núcleo Sales,25,Santos,PA,50351-790
5911,4416,Núcleo de Ramos,53,Cassiano,MS,21490-746
5912,23839,Pátio Ribeiro,27,Sampaio do Galho,PI,36412-631
5913,18004,Viaduto de Ribeiro,56,Ribeiro,PE,63189649
5914,9613,Campo Pacheco,401,Cavalcanti Paulista,SE,00762651
5915,15853,Parque Monteiro,156,da Conceição,PE,80202595
5916,7539,Rua Moraes,63,Borges Alegre,ES,29666311
5917,2631,Condomínio Davi Lucca Alves,444,Montenegro,DF,00467103
5918,7867,Feira Castro,3,Abreu,TO,80100773
5919,10913,Parque Abreu,95,da Costa,DF,06017-242
5920,10400,Lago Garcia,57,Rios,SC,01037-732
5921,15863,Passarela da Mota,6,da Costa dos Dourados,GO,54044-350
